England and Wales,Religion,Sex,Age Code,Age,Ethnic group,Observation
England and Wales,Does not apply,Female,7,Aged 7 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,7,Aged 7 years,White,0
England and Wales,Does not apply,Female,7,Aged 7 years,Other ethnic group,0
England and Wales,Does not apply,Female,8,Aged 8 years,Does not apply,0
England and Wales,Does not apply,Female,8,Aged 8 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,8,Aged 8 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,8,Aged 8 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,8,Aged 8 years,White,0
England and Wales,Does not apply,Female,8,Aged 8 years,Other ethnic group,0
England and Wales,Does not apply,Female,9,Aged 9 years,Does not apply,0
England and Wales,Does not apply,Female,9,Aged 9 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,9,Aged 9 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,9,Aged 9 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,9,Aged 9 years,White,0
England and Wales,Does not apply,Female,9,Aged 9 years,Other ethnic group,0
England and Wales,Does not apply,Female,10,Aged 10 years,Does not apply,0
England and Wales,Does not apply,Female,10,Aged 10 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,10,Aged 10 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,10,Aged 10 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,10,Aged 10 years,White,0
England and Wales,Does not apply,Female,10,Aged 10 years,Other ethnic group,0
England and Wales,Does not apply,Female,11,Aged 11 years,Does not apply,0
England and Wales,Does not apply,Female,11,Aged 11 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,11,Aged 11 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,11,Aged 11 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,11,Aged 11 years,White,0
England and Wales,Does not apply,Female,11,Aged 11 years,Other ethnic group,0
England and Wales,Does not apply,Female,12,Aged 12 years,Does not apply,0
England and Wales,Does not apply,Female,12,Aged 12 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,12,Aged 12 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,12,Aged 12 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,12,Aged 12 years,White,0
England and Wales,Does not apply,Female,12,Aged 12 years,Other ethnic group,0
England and Wales,Does not apply,Female,13,Aged 13 years,Does not apply,0
England and Wales,Does not apply,Female,13,Aged 13 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,13,Aged 13 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,13,Aged 13 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,13,Aged 13 years,White,0
England and Wales,Does not apply,Female,13,Aged 13 years,Other ethnic group,0
England and Wales,Does not apply,Female,14,Aged 14 years,Does not apply,0
England and Wales,Does not apply,Female,14,Aged 14 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,14,Aged 14 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,14,Aged 14 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,14,Aged 14 years,White,0
England and Wales,Does not apply,Female,14,Aged 14 years,Other ethnic group,0
England and Wales,Does not apply,Female,15,Aged 15 years,Does not apply,0
England and Wales,Does not apply,Female,15,Aged 15 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,15,Aged 15 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,15,Aged 15 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,15,Aged 15 years,White,0
England and Wales,Does not apply,Female,15,Aged 15 years,Other ethnic group,0
England and Wales,Does not apply,Female,16,Aged 16 years,Does not apply,0
England and Wales,Does not apply,Female,16,Aged 16 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,16,Aged 16 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,16,Aged 16 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,16,Aged 16 years,White,0
England and Wales,Does not apply,Female,16,Aged 16 years,Other ethnic group,0
England and Wales,Does not apply,Female,17,Aged 17 years,Does not apply,0
England and Wales,Does not apply,Female,17,Aged 17 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,17,Aged 17 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,17,Aged 17 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,17,Aged 17 years,White,0
England and Wales,Does not apply,Female,17,Aged 17 years,Other ethnic group,0
England and Wales,Does not apply,Female,18,Aged 18 years,Does not apply,0
England and Wales,Does not apply,Female,18,Aged 18 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,18,Aged 18 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,18,Aged 18 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,18,Aged 18 years,White,0
England and Wales,Does not apply,Female,18,Aged 18 years,Other ethnic group,0
England and Wales,Does not apply,Female,19,Aged 19 years,Does not apply,0
England and Wales,Does not apply,Female,19,Aged 19 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,19,Aged 19 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,19,Aged 19 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,19,Aged 19 years,White,0
England and Wales,Does not apply,Female,19,Aged 19 years,Other ethnic group,0
England and Wales,Does not apply,Female,20,Aged 20 years,Does not apply,0
England and Wales,Does not apply,Female,20,Aged 20 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,20,Aged 20 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,20,Aged 20 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,20,Aged 20 years,White,0
England and Wales,Does not apply,Female,20,Aged 20 years,Other ethnic group,0
England and Wales,Does not apply,Female,21,Aged 21 years,Does not apply,0
England and Wales,Does not apply,Female,21,Aged 21 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,21,Aged 21 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,21,Aged 21 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,21,Aged 21 years,White,0
England and Wales,Does not apply,Female,21,Aged 21 years,Other ethnic group,0
England and Wales,Does not apply,Female,22,Aged 22 years,Does not apply,0
England and Wales,Does not apply,Female,22,Aged 22 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,22,Aged 22 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,22,Aged 22 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,22,Aged 22 years,White,0
England and Wales,Does not apply,Female,22,Aged 22 years,Other ethnic group,0
England and Wales,Does not apply,Female,23,Aged 23 years,Does not apply,0
England and Wales,Does not apply,Female,23,Aged 23 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,23,Aged 23 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,23,Aged 23 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,23,Aged 23 years,White,0
England and Wales,Does not apply,Female,23,Aged 23 years,Other ethnic group,0
England and Wales,Does not apply,Female,24,Aged 24 years,Does not apply,0
England and Wales,Does not apply,Female,24,Aged 24 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,24,Aged 24 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,24,Aged 24 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,24,Aged 24 years,White,0
England and Wales,Does not apply,Female,24,Aged 24 years,Other ethnic group,0
England and Wales,Does not apply,Female,25,Aged 25 years,Does not apply,0
England and Wales,Does not apply,Female,25,Aged 25 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,25,Aged 25 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,25,Aged 25 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,25,Aged 25 years,White,0
England and Wales,Does not apply,Female,25,Aged 25 years,Other ethnic group,0
England and Wales,Does not apply,Female,26,Aged 26 years,Does not apply,0
England and Wales,Does not apply,Female,26,Aged 26 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,26,Aged 26 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,26,Aged 26 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,26,Aged 26 years,White,0
England and Wales,Does not apply,Female,26,Aged 26 years,Other ethnic group,0
England and Wales,Does not apply,Female,27,Aged 27 years,Does not apply,0
England and Wales,Does not apply,Female,27,Aged 27 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,27,Aged 27 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,27,Aged 27 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,27,Aged 27 years,White,0
England and Wales,Does not apply,Female,27,Aged 27 years,Other ethnic group,0
England and Wales,Does not apply,Female,28,Aged 28 years,Does not apply,0
England and Wales,Does not apply,Female,28,Aged 28 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,28,Aged 28 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,28,Aged 28 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,28,Aged 28 years,White,0
England and Wales,Does not apply,Female,28,Aged 28 years,Other ethnic group,0
England and Wales,Does not apply,Female,29,Aged 29 years,Does not apply,0
England and Wales,Does not apply,Female,29,Aged 29 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,29,Aged 29 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,29,Aged 29 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,29,Aged 29 years,White,0
England and Wales,Does not apply,Female,29,Aged 29 years,Other ethnic group,0
England and Wales,Does not apply,Female,30,Aged 30 years,Does not apply,0
England and Wales,Does not apply,Female,30,Aged 30 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,30,Aged 30 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,30,Aged 30 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,30,Aged 30 years,White,0
England and Wales,Does not apply,Female,30,Aged 30 years,Other ethnic group,0
England and Wales,Does not apply,Female,31,Aged 31 years,Does not apply,0
England and Wales,Does not apply,Female,31,Aged 31 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,31,Aged 31 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,31,Aged 31 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,31,Aged 31 years,White,0
England and Wales,Does not apply,Female,31,Aged 31 years,Other ethnic group,0
England and Wales,Does not apply,Female,32,Aged 32 years,Does not apply,0
England and Wales,Does not apply,Female,32,Aged 32 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,32,Aged 32 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,32,Aged 32 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,32,Aged 32 years,White,0
England and Wales,Does not apply,Female,32,Aged 32 years,Other ethnic group,0
England and Wales,Does not apply,Female,33,Aged 33 years,Does not apply,0
England and Wales,Does not apply,Female,33,Aged 33 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,33,Aged 33 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,33,Aged 33 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,33,Aged 33 years,White,0
England and Wales,Does not apply,Female,33,Aged 33 years,Other ethnic group,0
England and Wales,Does not apply,Female,34,Aged 34 years,Does not apply,0
England and Wales,Does not apply,Female,34,Aged 34 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,34,Aged 34 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,34,Aged 34 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,34,Aged 34 years,White,0
England and Wales,Does not apply,Female,34,Aged 34 years,Other ethnic group,0
England and Wales,Does not apply,Female,35,Aged 35 years,Does not apply,0
England and Wales,Does not apply,Female,35,Aged 35 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,35,Aged 35 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,35,Aged 35 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,35,Aged 35 years,White,0
England and Wales,Does not apply,Female,35,Aged 35 years,Other ethnic group,0
England and Wales,Does not apply,Female,36,Aged 36 years,Does not apply,0
England and Wales,Does not apply,Female,36,Aged 36 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,36,Aged 36 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,36,Aged 36 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,36,Aged 36 years,White,0
England and Wales,Does not apply,Female,36,Aged 36 years,Other ethnic group,0
England and Wales,Does not apply,Female,37,Aged 37 years,Does not apply,0
England and Wales,Does not apply,Female,37,Aged 37 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,37,Aged 37 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,37,Aged 37 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,37,Aged 37 years,White,0
England and Wales,Does not apply,Female,37,Aged 37 years,Other ethnic group,0
England and Wales,Does not apply,Female,38,Aged 38 years,Does not apply,0
England and Wales,Does not apply,Female,38,Aged 38 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,38,Aged 38 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,38,Aged 38 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,38,Aged 38 years,White,0
England and Wales,Does not apply,Female,38,Aged 38 years,Other ethnic group,0
England and Wales,Does not apply,Female,39,Aged 39 years,Does not apply,0
England and Wales,Does not apply,Female,39,Aged 39 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,39,Aged 39 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,39,Aged 39 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,39,Aged 39 years,White,0
England and Wales,Does not apply,Female,39,Aged 39 years,Other ethnic group,0
England and Wales,Does not apply,Female,40,Aged 40 years,Does not apply,0
England and Wales,Does not apply,Female,40,Aged 40 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,40,Aged 40 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,40,Aged 40 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,40,Aged 40 years,White,0
England and Wales,Does not apply,Female,40,Aged 40 years,Other ethnic group,0
England and Wales,Does not apply,Female,41,Aged 41 years,Does not apply,0
England and Wales,Does not apply,Female,41,Aged 41 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,41,Aged 41 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,41,Aged 41 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,41,Aged 41 years,White,0
England and Wales,Does not apply,Female,41,Aged 41 years,Other ethnic group,0
England and Wales,Does not apply,Female,42,Aged 42 years,Does not apply,0
England and Wales,Does not apply,Female,42,Aged 42 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,42,Aged 42 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,42,Aged 42 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,42,Aged 42 years,White,0
England and Wales,Does not apply,Female,42,Aged 42 years,Other ethnic group,0
England and Wales,Does not apply,Female,43,Aged 43 years,Does not apply,0
England and Wales,Does not apply,Female,43,Aged 43 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,43,Aged 43 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,43,Aged 43 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,43,Aged 43 years,White,0
England and Wales,Does not apply,Female,43,Aged 43 years,Other ethnic group,0
England and Wales,Does not apply,Female,44,Aged 44 years,Does not apply,0
England and Wales,Does not apply,Female,44,Aged 44 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,44,Aged 44 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,44,Aged 44 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,44,Aged 44 years,White,0
England and Wales,Does not apply,Female,44,Aged 44 years,Other ethnic group,0
England and Wales,Does not apply,Female,45,Aged 45 years,Does not apply,0
England and Wales,Does not apply,Female,45,Aged 45 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,45,Aged 45 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,45,Aged 45 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,45,Aged 45 years,White,0
England and Wales,Does not apply,Female,45,Aged 45 years,Other ethnic group,0
England and Wales,Does not apply,Female,46,Aged 46 years,Does not apply,0
England and Wales,Does not apply,Female,46,Aged 46 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,46,Aged 46 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,46,Aged 46 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,46,Aged 46 years,White,0
England and Wales,Does not apply,Female,46,Aged 46 years,Other ethnic group,0
England and Wales,Does not apply,Female,47,Aged 47 years,Does not apply,0
England and Wales,Does not apply,Female,47,Aged 47 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,47,Aged 47 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,47,Aged 47 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,47,Aged 47 years,White,0
England and Wales,Does not apply,Female,47,Aged 47 years,Other ethnic group,0
England and Wales,Does not apply,Female,48,Aged 48 years,Does not apply,0
England and Wales,Does not apply,Female,48,Aged 48 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,48,Aged 48 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,48,Aged 48 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,48,Aged 48 years,White,0
England and Wales,Does not apply,Female,48,Aged 48 years,Other ethnic group,0
England and Wales,Does not apply,Female,49,Aged 49 years,Does not apply,0
England and Wales,Does not apply,Female,49,Aged 49 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,49,Aged 49 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,49,Aged 49 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,49,Aged 49 years,White,0
England and Wales,Does not apply,Female,49,Aged 49 years,Other ethnic group,0
England and Wales,Does not apply,Female,50,Aged 50 years,Does not apply,0
England and Wales,Does not apply,Female,50,Aged 50 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,50,Aged 50 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,50,Aged 50 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,50,Aged 50 years,White,0
England and Wales,Does not apply,Female,50,Aged 50 years,Other ethnic group,0
England and Wales,Does not apply,Female,51,Aged 51 years,Does not apply,0
England and Wales,Does not apply,Female,51,Aged 51 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,51,Aged 51 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,51,Aged 51 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,51,Aged 51 years,White,0
England and Wales,Does not apply,Female,51,Aged 51 years,Other ethnic group,0
England and Wales,Does not apply,Female,52,Aged 52 years,Does not apply,0
England and Wales,Does not apply,Female,52,Aged 52 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,52,Aged 52 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,52,Aged 52 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,52,Aged 52 years,White,0
England and Wales,Does not apply,Female,52,Aged 52 years,Other ethnic group,0
England and Wales,Does not apply,Female,53,Aged 53 years,Does not apply,0
England and Wales,Does not apply,Female,53,Aged 53 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,53,Aged 53 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,53,Aged 53 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,53,Aged 53 years,White,0
England and Wales,Does not apply,Female,53,Aged 53 years,Other ethnic group,0
England and Wales,Does not apply,Female,54,Aged 54 years,Does not apply,0
England and Wales,Does not apply,Female,54,Aged 54 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,54,Aged 54 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,54,Aged 54 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,54,Aged 54 years,White,0
England and Wales,Does not apply,Female,54,Aged 54 years,Other ethnic group,0
England and Wales,Does not apply,Female,55,Aged 55 years,Does not apply,0
England and Wales,Does not apply,Female,55,Aged 55 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,55,Aged 55 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,55,Aged 55 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,55,Aged 55 years,White,0
England and Wales,Does not apply,Female,55,Aged 55 years,Other ethnic group,0
England and Wales,Does not apply,Female,56,Aged 56 years,Does not apply,0
England and Wales,Does not apply,Female,56,Aged 56 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,56,Aged 56 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,56,Aged 56 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,56,Aged 56 years,White,0
England and Wales,Does not apply,Female,56,Aged 56 years,Other ethnic group,0
England and Wales,Does not apply,Female,57,Aged 57 years,Does not apply,0
England and Wales,Does not apply,Female,57,Aged 57 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,57,Aged 57 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,57,Aged 57 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,57,Aged 57 years,White,0
England and Wales,Does not apply,Female,57,Aged 57 years,Other ethnic group,0
England and Wales,Does not apply,Female,58,Aged 58 years,Does not apply,0
England and Wales,Does not apply,Female,58,Aged 58 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,58,Aged 58 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,58,Aged 58 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,58,Aged 58 years,White,0
England and Wales,Does not apply,Female,58,Aged 58 years,Other ethnic group,0
England and Wales,Does not apply,Female,59,Aged 59 years,Does not apply,0
